dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
two_moons,gmm,0,0.0,0.00046149390194138995,0.03747118143707699,0.976,0.9745,0.8421052631578947,1.6224119819108551,0.08453389983845119,0.13805699348449707
two_moons,vae,0,0.0,0.0029660463333129883,0.1469893247540987,0.5015,0.898,0.7307692307692307,,0.08453389983845119,0.41988301277160645
two_moons,ddpm,0,0.0,0.0002461671829223633,0.05954920869586136,0.7215,0.984,0.8360323886639676,,0.08453389983845119,1.5750620365142822
two_moons,kde,0,0.03,0.0004609995356654739,0.047920169733914136,0.883,0.995,0.9068825910931174,1.767429214806691,0.08453389983845119,0.2096419334411621
two_moons,gmm,0,0.03,0.0009352279631424931,0.06001762604102072,0.9565,0.981,0.8360323886639676,1.6584134800051138,0.08453389983845119,0.30124711990356445
two_moons,vae,0,0.03,0.0028334856033325195,0.16170203169034547,0.499,0.907,0.728744939271255,,0.08453389983845119,0.5677969455718994
two_moons,ddpm,0,0.03,0.0006744861602783203,0.08694220760698292,0.6,0.953,0.8178137651821862,,0.08453389983845119,1.5953369140625
two_moons,kde,0,0.08,0.0022352615701721756,0.09781433889252561,0.8385,0.9925,0.8825910931174089,1.8045041204181302,0.08453389983845119,0.22439098358154297
two_moons,gmm,0,0.08,0.0013113282810295335,0.07986646742704978,0.914,0.9805,0.840080971659919,1.6984868581796149,0.08453389983845119,0.23757505416870117
two_moons,vae,0,0.08,0.0050487518310546875,0.17750572853558164,0.4505,0.935,0.7510121457489879,,0.08453389983845119,0.5503108501434326
two_moons,ddpm,0,0.08,0.0040007829666137695,0.13573957645421394,0.5615,0.949,0.7834008097165992,,0.08453389983845119,1.3287711143493652
two_moons,kde,0,0.15,0.0037980435111455435,0.12479510132328389,0.7935,0.992,0.888663967611336,1.8553600014704876,0.08453389983845119,0.24651002883911133
two_moons,gmm,0,0.15,0.00213373538649253,0.09597011833034177,0.876,0.9815,0.8765182186234818,1.7665070811160308,0.08453389983845119,0.2743687629699707
two_moons,vae,0,0.15,0.0048177242279052734,0.18430947716256232,0.437,0.9305,0.7206477732793523,,0.08453389983845119,0.5614359378814697
two_moons,ddpm,0,0.15,0.00345611572265625,0.14530550469593267,0.513,0.9475,0.7793522267206477,,0.08453389983845119,1.291261911392212
spiral,kde,0,0.0,0.00015431491998607605,0.034881653797511375,0.955,0.9885,0.8267148014440433,2.1162431342542223,0.11280048963784771,0.18317008018493652
spiral,gmm,0,0.0,0.00010532112803995908,0.03503443634446654,0.8315,0.966,0.779783393501805,2.5050601823280965,0.11280048963784771,0.18677115440368652
spiral,vae,0,0.0,0.0007723569869995117,0.07563683627318596,0.696,0.9095,0.7093862815884476,,0.11280048963784771,0.4771907329559326
spiral,ddpm,0,0.0,0.0005964040756225586,0.07311845298786773,0.7095,0.9285,0.7364620938628159,,0.11280048963784771,1.320162057876587
spiral,kde,0,0.03,0.0007682564926414504,0.05772172806718048,0.908,0.9895,0.8429602888086642,2.2121155700176067,0.11280048963784771,0.20007109642028809
spiral,gmm,0,0.03,0.00047094927698587696,0.05415543462993037,0.7955,0.967,0.7707581227436823,2.556644452001563,0.11280048963784771,0.31882286071777344
spiral,vae,0,0.03,0.0004152059555053711,0.06859525044695727,0.699,0.9155,0.723826714801444,,0.11280048963784771,0.6382431983947754
spiral,ddpm,0,0.03,0.0001647472381591797,0.06486508241913695,0.704,0.937,0.7436823104693141,,0.11280048963784771,1.6718919277191162
spiral,kde,0,0.08,0.001212664108642958,0.07368772629493239,0.869,0.992,0.8267148014440433,2.2472811170582054,0.11280048963784771,0.21637606620788574
spiral,gmm,0,0.08,0.0011138404893589193,0.0699189887496319,0.754,0.969,0.7743682310469314,2.668468502892194,0.11280048963784771,0.30644893646240234
spiral,vae,0,0.08,0.0006982088088989258,0.07755755106313808,0.701,0.932,0.723826714801444,,0.11280048963784771,0.4711771011352539
spiral,ddpm,0,0.08,0.0016367435455322266,0.09661370818576592,0.6745,0.9355,0.7509025270758123,,0.11280048963784771,1.4167900085449219
spiral,kde,0,0.15,0.002978749124110003,0.1138318132622676,0.7815,0.991,0.8194945848375451,2.451641331332453,0.11280048963784771,0.24162912368774414
spiral,gmm,0,0.15,0.00296528907415472,0.12164725806033026,0.67,0.9465,0.740072202166065,2.8542641206841846,0.11280048963784771,0.2761399745941162
spiral,vae,0,0.15,0.001161336898803711,0.08789208753963706,0.672,0.925,0.740072202166065,,0.11280048963784771,0.49698615074157715
spiral,ddpm,0,0.15,0.002783656120300293,0.11469607381984076,0.653,0.9585,0.7581227436823105,,0.11280048963784771,1.2787160873413086
gaussian_mixture,kde,1,0.0,0.0009441421841756004,0.0514939756433129,0.927,0.9625,0.8672985781990521,0.08579090496383004,0.03674104942533162,0.19524598121643066
gaussian_mixture,gmm,1,0.0,0.00036930445828842196,0.03410552408092753,0.962,0.961,0.8341232227488151,0.06288845380332221,0.03674104942533162,0.10658407211303711
gaussian_mixture,vae,1,0.0,0.010847926139831543,0.22272319991433925,0.1155,0.494,0.7393364928909952,,0.03674104942533162,0.4031212329864502
gaussian_mixture,ddpm,1,0.0,0.0007727146148681641,0.06068378790101433,0.7385,0.971,0.9052132701421801,,0.03674104942533162,1.2659540176391602
gaussian_mixture,kde,1,0.03,0.000318480750722383,0.06110767204843892,0.6925,0.9885,0.9715639810426541,0.542054459243646,0.03674104942533162,0.2030189037322998
gaussian_mixture,gmm,1,0.03,0.00023597331155800205,0.03989798169247453,0.9295,0.95,0.8056872037914692,0.08810574996023539,0.03674104942533162,0.1574993133544922
gaussian_mixture,vae,1,0.03,0.0029360055923461914,0.21448947154182577,0.109,0.4715,0.7725118483412322,,0.03674104942533162,0.5297939777374268
gaussian_mixture,ddpm,1,0.03,0.0012958049774169922,0.09761210423421832,0.4245,0.911,0.919431279620853,,0.03674104942533162,1.2928860187530518
gaussian_mixture,kde,1,0.08,0.0016821918056104668,0.09997667504329741,0.7635,0.9765,0.9241706161137441,0.3194670551862218,0.03674104942533162,0.21082592010498047
gaussian_mixture,gmm,1,0.08,0.0009119800564714176,0.06924913775514786,0.889,0.947,0.7962085308056872,0.1351075074129795,0.03674104942533162,0.16072392463684082
gaussian_mixture,vae,1,0.08,0.002418994903564453,0.24359278788523991,0.0905,0.452,0.6492890995260664,,0.03674104942533162,0.4067378044128418
gaussian_mixture,ddpm,1,0.08,0.004544496536254883,0.17594020914724925,0.195,0.694,0.8815165876777251,,0.03674104942533162,1.2800588607788086
gaussian_mixture,kde,1,0.15,0.0018144947268017297,0.10707083335422055,0.706,0.98,0.9620853080568721,0.3810257396316392,0.03674104942533162,0.22844600677490234
gaussian_mixture,gmm,1,0.15,0.001579804016129227,0.09267462036153269,0.8345,0.944,0.7582938388625592,0.19731239381616422,0.03674104942533162,0.18976783752441406
gaussian_mixture,vae,1,0.15,0.0028084516525268555,0.24374793543099377,0.0905,0.456,0.7014218009478673,,0.03674104942533162,0.6093530654907227
gaussian_mixture,ddpm,1,0.15,0.0037811994552612305,0.24354970886269223,0.088,0.41,0.6777251184834123,,0.03674104942533162,1.2290740013122559
ring,kde,1,0.0,0.00034307410406353434,0.036861378819321985,0.963,0.986,0.9004854368932039,1.186286679525862,0.06638761858924981,0.17633509635925293
ring,gmm,1,0.0,0.0002426256543091032,0.03560504096680542,0.979,0.982,0.8810679611650486,1.1632899940900927,0.06638761858924981,0.11451983451843262
ring,vae,1,0.0,0.010397911071777344,0.21282101074888665,0.332,0.9095,0.7524271844660194,,0.06638761858924981,0.43984508514404297
ring,ddpm,1,0.0,0.0012590885162353516,0.061334671210605124,0.941,0.9905,0.9053398058252428,,0.06638761858924981,1.2278940677642822
ring,kde,1,0.03,0.0004279516286240792,0.054464445866674656,0.827,0.9965,0.9611650485436893,1.4181802171089786,0.06638761858924981,0.19914698600769043
ring,gmm,1,0.03,0.0002035016206725082,0.039870983053256384,0.9485,0.987,0.8932038834951457,1.1848133896926423,0.06638761858924981,0.1681661605834961
ring,vae,1,0.03,0.0017168521881103516,0.20308730492962004,0.2665,0.8495,0.6990291262135923,,0.06638761858924981,0.4032878875732422
ring,ddpm,1,0.03,0.0018090009689331055,0.08694022502391813,0.836,0.9945,0.9344660194174758,,0.06638761858924981,1.2832489013671875
ring,kde,1,0.08,0.0006067090961403565,0.0639285571715819,0.7835,0.9975,0.9587378640776699,1.4594939577105361,0.06638761858924981,0.21722698211669922
ring,gmm,1,0.08,0.000663371262378698,0.0737921734386944,0.9085,0.975,0.8616504854368932,1.2320817744659573,0.06638761858924981,0.21318984031677246
ring,vae,1,0.08,0.00237274169921875,0.2279460260192734,0.264,0.8395,0.662621359223301,,0.06638761858924981,0.4175739288330078
ring,ddpm,1,0.08,0.0014094114303588867,0.0869815903362878,0.695,0.989,0.9199029126213593,,0.06638761858924981,1.361609935760498
ring,kde,1,0.15,0.001646039648340425,0.0925951427365832,0.8115,0.993,0.9247572815533981,1.3788885266822322,0.06638761858924981,0.237807035446167
ring,gmm,1,0.15,0.0019556191495659903,0.10387416995999482,0.8585,0.9885,0.8907766990291263,1.289131344380703,0.06638761858924981,0.22899079322814941
ring,vae,1,0.15,0.0019669532775878906,0.22547803741677813,0.2395,0.8175,0.6456310679611651,,0.06638761858924981,0.5253732204437256
ring,ddpm,1,0.15,0.0029698610305786133,0.21419199934692246,0.226,0.809,0.6286407766990292,,0.06638761858924981,1.3417479991912842
two_moons,kde,1,0.0,0.0003749887047987954,0.037606333781098095,0.9575,0.9825,0.8772635814889336,1.6743367773268423,0.08507923874110516,0.21866488456726074
two_moons,gmm,1,0.0,7.601803388346262e-05,0.022800531515697373,0.9735,0.978,0.8611670020120724,1.6405053828850227,0.08507923874110516,0.12200808525085449
two_moons,vae,1,0.0,0.0059746503829956055,0.16714167315041378,0.5025,0.917,0.7525150905432596,,0.08507923874110516,0.453458309173584
two_moons,ddpm,1,0.0,0.0018324851989746094,0.09221176873917561,0.7125,0.974,0.8450704225352113,,0.08507923874110516,1.2484290599822998
two_moons,kde,1,0.03,0.0005604398255325549,0.052591186344934315,0.8195,0.988,0.903420523138833,1.9184097118892562,0.08507923874110516,0.21329092979431152
two_moons,gmm,1,0.03,0.00012529814630557468,0.03491598693306077,0.952,0.983,0.8732394366197183,1.6644279485586086,0.08507923874110516,0.19543981552124023
