dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
spiral,vae,0,0.0018273591995239258,0.10123760721876088,0.8066666666666666,0.8988888888888888,0.46462264150943394,,0.17582935863702231,0.659965991973877
spiral,ddpm,0,0.000611424446105957,0.0723966536923849,0.82,0.9577777777777777,0.4858490566037736,,0.17582935863702231,3.586765766143799
spiral,kde,1,0.001504984078240179,0.06777559292034774,0.9766666666666667,0.9822222222222222,0.6467889908256881,2.1663316803964903,0.17634822447088722,0.06393861770629883
spiral,gmm,1,0.0009185747381401654,0.0627951357358227,0.9355555555555556,0.9688888888888889,0.6192660550458715,2.430599235175427,0.17634822447088722,0.20993399620056152
spiral,vae,1,0.0019593238830566406,0.09842634013219946,0.8055555555555556,0.9288888888888889,0.5412844036697247,,0.17634822447088722,0.5045678615570068
spiral,ddpm,1,0.0004382133483886719,0.07714370619122997,0.7811111111111111,0.9622222222222222,0.5206422018348624,,0.17634822447088722,2.133297920227051
spiral,kde,2,0.0007116105112363602,0.060670284217575345,0.9855555555555555,0.9922222222222222,0.6229508196721312,2.213133880004736,0.17801864208671594,0.0647118091583252
spiral,gmm,2,0.0008171588819576581,0.06392623667429112,0.9244444444444444,0.9755555555555555,0.5667447306791569,2.5190978958155847,0.17801864208671594,0.13760900497436523
spiral,vae,2,0.00045228004455566406,0.06690765626086707,0.8311111111111111,0.9344444444444444,0.5128805620608899,,0.17801864208671594,0.5001680850982666
spiral,ddpm,2,0.0007330179214477539,0.06803326226851693,0.8266666666666667,0.9666666666666667,0.5339578454332553,,0.17801864208671594,2.081696033477783
